id,codigo,ex,tipo,descricao,nacional_federal,importados_federal,estadual,municipal,vigencia_inicio,vigencia_fim,chave,versao,fonte,estado
48481,02074100,,0,"Carnes de patos, n/cort.em pedacos, frescas/refriger.",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48482,02074200,,0,"Carnes de patos,gansos,etc.n/cort.em pedacos,congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48483,02074300,,0,"Figados gordos,de patos (foie gras), frescos/refrig.",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48484,02074400,,0,"Outs.carnes/miudezas,de patos,frescas, refrig",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48485,02074500,,0,"Outs.carnes,miudezas,de patos, congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48486,02075100,,0,"Carnes de gansos n/cort.em pedacos, frescas/refriger.",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48487,02075200,,0,"Carnes de gansos n/cort.em pedacos,congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48488,02075300,,0,"Figados gordos,de gansos (foie gras), frescos/ refrig.",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48489,02075400,,0,"Outs.carnes/miudezas,de gansos, frescas, refrig",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48490,02075500,,0,"Outs.carnes,miudezas,de gansos, congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48491,02076000,,0,"Carnes e miudezas comestiveis de galinhas dangola (pintadas), frescas/refriger/ congeladas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48492,02081000,,0,"Carnes/miudezas,de coelhos/lebres,frescas/ refrig/congel",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48493,02083000,,0,"Carnes e miudezas,de primatas,frescos/ refrig/congel",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48494,02084000,,0,"Carnes e miudezas,de baleias,golfinhos e botos, peixes-boi e digongos, otarias e focas, leoes-marinhos e morsas ,frescos/ refrig/ congel",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48495,02085000,,0,"Carnes e miudezas,de repteis(incluidas as serpentes e as tartarugas marinhas), frescos/ refrig/congel",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48496,02086000,,0,"Carnes e miudezas,de camelos e outros camelideos, frescos/ refrig/congel",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48497,02089000,,0,"Carnes e miudezas,de outs.animais,frescos/ refrig/congel",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48498,02091011,,0,"Toucinho de porco sem partes magras, fresco/ refrigerado/ congelado",13.45,17.97,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48499,02091019,,0,"Toucinho sem partes magras,salgado/ salmoura/ seco/defum.",13.45,17.97,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48500,02091021,,0,"Gordura de porco,fresca,refrigerada ou congelada",13.45,17.97,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48501,02091029,,0,"Gordura de porco,n/fundida,salgada,em salmoura,seca,etc",13.45,17.97,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48502,02099000,,0,"Gordura de aves,n/fundida,fresca, refrigerada,congel.etc",13.45,17.97,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48503,02101100,,0,"Pernas/pas/pedacos,de suino,n/desossados, salgados,etc.",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48504,02101200,,0,"Barrigas e peitos,entremeados,de suino,salgados,etc.",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48505,02101900,,0,"Outs.carnes de suino,salgadas ou em salmoura,secas,etc.",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48506,02102000,,0,"Carnes de bovinos,salgadas/em salmoura/ secas/defumadas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48507,02109100,,0,"Carnes e miudezas,de primatas,salgados,etc.",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48508,02109100,1.0,0,"Miudezas, farinhas e pos dessas miudezas de primatas",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48509,02109200,,0,"Carnes e miudezas,de baleias,golfinhos e botos, peixes-boi e digongos, otarias e focas, leoes-marinhos e morsas,salgados,etc.",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48510,02109200,1.0,0,"Miudezas, farinhas e pos dessas miudezas de baleias, golfinhos e botos mamiferos da ordem dos cetaceos , de peixes-boi manatins e dugongos mamiferos da ordem dos sirenios , de otarias e focas, leoes-marinhos e morsas mamiferos da subordem dos pinipedes ",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48511,02109300,,0,"Carnes e miudezas,de repteis(incluidas as serpentes e as tartarugas marinhas), salgados,etc.",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48512,02109300,1.0,0,"Miudezas, farinhas e pos dessas miudezas de repteis incluindo as serpentes e as tartarugas marinhas ",13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48513,02109911,,0,De galos e de galinhas,13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48514,02109919,,0,Outras,13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48515,02109920,,0,Carnes da especie ovina,13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48516,02109930,,0,Carnes da especie cavalar,13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48517,02109940,,0,Miudezas comestiveis,13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48518,02109990,,0,Outras,13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48519,02109990,1.0,0,Farinhas e pos das miudezas do codigo 0210.99.40,13.45,19.52,12.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48520,03011110,,0,Aruana (peixe ornamental),13.45,19.52,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48521,03011190,,0,"Outros peixes ornamentais, vivos, de agua doce",13.45,19.52,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
48522,03011900,,0,Outros peixes ornamentais vivos,13.45,19.52,17.0,0.0,20/04/2024,31/05/2024,244637,24.1.D,IBPT/empresometro.com.br,MT
